,index,Unnamed: 0,시군구,소재지,Latitude,Longitude,구분,geometry,facility_id,버스정류장,자전거정류장,주차장,지하철
30.0,41,72,김해시,경상남도 김해시 봉황동 114,35.2287971,128.8769328,공연장,POINT (128.8769328 35.2287971),36,14.0,0.0,0.0,0.0
31.0,42,74,창원시,경상남도 창원시 성산구 용호동 73-24 세원상가,35.2299967,128.681028,공연장,POINT (128.681028 35.2299967),37,14.0,9.0,3.0,0.0
32.0,43,76,창원시,경상남도 창원시 마산회원구 내서읍 중리 1054 백로아파트,35.2437032,128.5059709,공연장,POINT (128.5059709 35.2437032),38,12.0,5.0,3.0,0.0
33.0,44,3,창원시,경상남도 창원시 진해구 용원동 1211-1,35.1020429,128.8103006,유원시설업(기타),POINT (128.8103006 35.1020429),39,3.0,7.0,0.0,0.0
34.0,45,5,김해시,경상남도 김해시 신문동 1417,35.1804063,128.8286965,종합유원시설업,POINT (128.8286965 35.1804063),40,24.0,2.0,1.0,0.0
35.0,46,26,김해시,경상남도 김해시 삼계동 1502-2 삼성아동병원 3층,35.2604136,128.8690663,유원시설업(기타),POINT (128.8690663 35.2604136),41,25.0,8.0,3.0,1.0
36.0,47,27,김해시,경상남도 김해시 동상동 992-12번지,35.2337278,128.8828488,유원시설업(기타),POINT (128.8828488 35.2337278),42,16.0,12.0,3.0,0.0
37.0,48,28,김해시,경상남도 김해시 외동 1259-2번지 힐튼상가 401호,35.2340715,128.8673397,유원시설업(기타),POINT (128.8673397 35.2340715),43,9.0,1.0,0.0,0.0
38.0,49,29,김해시,경상남도 김해시 외동 1252-2번지 삼우빌딩 108호,35.2342109,128.8658541,유원시설업(기타),POINT (128.8658541 35.2342109),44,18.0,3.0,1.0,0.0
39.0,50,30,김해시,경상남도 김해시 율하동 1335-1번지 경보월드,35.1721368,128.813754,유원시설업(기타),POINT (128.813754 35.1721368),45,3.0,0.0,0.0,0.0
40.0,51,31,김해시,경상남도 김해시 삼계동 1422-4,35.2681076,128.8635768,유원시설업(기타),POINT (128.8635768 35.2681076),46,37.0,4.0,2.0,1.0
41.0,52,32,김해시,경상남도 김해시 신문동 1414번지 롯데아울렛신관,35.1850539,128.8290167,유원시설업(기타),POINT (128.8290167 35.1850539),47,34.0,3.0,6.0,0.0
42.0,53,33,김해시,경상남도 김해시 삼문동 562-12번지,35.1878182,128.8071353,유원시설업(기타),POINT (128.8071353 35.1878182),48,27.0,30.0,3.0,1.0
43.0,54,34,김해시,경상남도 김해시 율하동 1351-4 경원프라자 301호,35.1724433,128.8152316,유원시설업(기타),POINT (128.8152316 35.1724433),49,23.0,27.0,4.0,0.0
44.0,55,35,김해시,경상남도 김해시 외동 1253-3 경원빌딩 401호,35.2328264,128.8655545,유원시설업(기타),POINT (128.8655545 35.2328264),50,20.0,8.0,4.0,0.0
45.0,56,36,김해시,경상남도 김해시 대청동 52-1번지 601~3호,35.1935363,128.7964664,유원시설업(기타),POINT (128.7964664 35.1935363),51,26.0,1.0,0.0,1.0
46.0,57,37,김해시,경상남도 김해시 주촌면 선지리 1016-2 402~4호,35.2413303,128.8445367,유원시설업(기타),POINT (128.8445367 35.2413303),52,4.0,0.0,0.0,0.0
47.0,58,38,창원시,경상남도 창원시 성산구 중앙동 101-1 경남오피스텔 1003호,35.2193131999999,128.6752529,시내순환관광업,POINT (128.6752529 35.2193131999999),53,12.0,5.0,0.0,0.0
48.0,59,39,김해시,경상남도 김해시 외동 1264 신세계백화점 5층,35.229131,128.872148,유원시설업(기타),POINT (128.872148 35.229131),54,23.0,6.0,4.0,0.0
49.0,60,40,김해시,경상남도 김해시 부곡동 1159-3 베스트월드 501호,35.203742,128.8083915,유원시설업(기타),POINT (128.8083915 35.203742),55,27.0,27.0,3.0,0.0
50.0,61,41,김해시,경상남도 김해시 외동 1249-4번지 한국2차아파트 주상가동 지하201호,35.2309858,128.8638899,유원시설업(기타),POINT (128.8638899 35.2309858),56,16.0,4.0,0.0,0.0
,62,42,김해시,경상남도 김해시 부원동 1043번지,35.2250721,128.8832573,유원시설업(기타),POINT (128.8832573 35.2250721),57,0.0,0.0,0.0,0.0
51.0,63,43,김해시,경상남도 김해시 동상동 745-1번지,35.2341513,128.8849891,유원시설업(기타),POINT (128.8849891 35.2341513),58,12.0,7.0,2.0,0.0
52.0,64,44,김해시,경상남도 김해시 외동 1264번지,35.229131,128.872148,유원시설업(기타),POINT (128.872148 35.229131),59,39.0,9.0,1.0,2.0
53.0,65,45,김해시,경상남도 김해시 진영읍 여래리 970,35.3066009,128.7376248,유원시설업(기타),POINT (128.7376248 35.3066009),60,34.0,7.0,2.0,0.0
54.0,66,46,김해시,경상남도 김해시 진영읍 진영리 1612-4 10층,35.3082373,128.729891,유원시설업(기타),POINT (128.729891 35.3082373),61,25.0,18.0,1.0,0.0
55.0,69,98,창원시,경상남도 창원시 성산구 상남동 45-1 성원아파트,35.2173123,128.6907088,유원시설업(기타),POINT (128.6907088 35.2173123),62,14.0,6.0,1.0,1.0
56.0,70,99,창원시,경상남도 창원시 성산구 용호동 73-1 레이크펄스,35.2306365,128.6806786,유원시설업(기타),POINT (128.6806786 35.2306365),63,28.0,1.0,6.0,0.0
57.0,71,100,창원시,경상남도 창원시 진해구 여좌동 761-5번지,35.1525398,128.6653733,유원시설업(기타),POINT (128.6653733 35.1525398),64,39.0,9.0,1.0,2.0
58.0,72,101,창원시,경상남도 창원시 진해구 이동 2-2번지,35.1561318,128.6984719,유원시설업(기타),POINT (128.6984719 35.1561318),65,38.0,5.0,0.0,0.0
59.0,73,102,창원시,경상남도 창원시 진해구 풍호동 806-18,35.1358599,128.7089898,유원시설업(기타),POINT (128.7089898 35.1358599),66,31.0,2.0,1.0,0.0
,74,103,창원시,경상남도 창원시 의창구 봉림동 713-4,35.250455,128.6672076,유원시설업(기타),POINT (128.6672076 35.250455),67,0.0,0.0,0.0,0.0
,75,104,창원시,경상남도 창원시 의창구 팔용동 30-3 삼성홈플러스,35.2341189,128.6436851,유원시설업(기타),POINT (128.6436851 35.2341189),68,0.0,0.0,0.0,0.0
60.0,76,105,창원시,경상남도 창원시 의창구 북면 감계리 236-1,35.2989714,128.5871345,유원시설업(기타),POINT (128.5871345 35.2989714),69,22.0,7.0,0.0,0.0
61.0,77,106,창원시,경상남도 창원시 진해구 자은동 136-1번지 자은스퀘어,35.1552745,128.7140628,유원시설업(기타),POINT (128.7140628 35.1552745),70,16.0,12.0,4.0,0.0
62.0,78,107,창원시,경상남도 창원시 성산구 가음동 47-2,35.2040276,128.7031302,유원시설업(기타),POINT (128.7031302 35.2040276),71,16.0,2.0,0.0,0.0
63.0,79,108,창원시,경상남도 창원시 마산회원구 내서읍 호계리 13-2번지 302호,35.2667659,128.5273685,유원시설업(기타),POINT (128.5273685 35.2667659),72,11.0,7.0,0.0,0.0
