사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태
범블비 이벤트 아트홀,경상남도 창원시 의창구 용호동 73-1번지 레이크펄스 602호,"경상남도 창원시 의창구 용지로169번길 15, 602호 (용호동, 레이크펄스)",2016-01-12,영업/정상,영업중
3.15아트센터(소공연장),경상남도 창원시 마산회원구 양덕동 532-3번지 ,경상남도 창원시 마산회원구 삼호로 135 (양덕동),2008-04-01,영업/정상,영업중
진해구민회관,경상남도 창원시 진해구 태백동 98번지 ,경상남도 창원시 진해구 진해대로 325 (태백동),2002-10-18,영업/정상,영업중
성산아트홀소극장,경상남도 창원시 의창구 용호동 2번지 ,경상남도 창원시 의창구 중앙대로 181 (용호동),2002-12-30,영업/정상,영업중
룰루랄라라이브클럽유흥주점,"경상남도 창원시 성산구 중앙동 95-1 하이페르빌딩 지하 1,2층 ",경상남도 창원시 성산구 용지로 96 (중앙동),2012-10-05,영업/정상,영업중
남명아트홀,경상남도 김해시 장유동 839-5 n스퀘어 ,"경상남도 김해시 율하4로 46, n스퀘어 9층 (장유동)",2021-07-12,영업/정상,영업중
비너스나이트클럽,경상남도 창원시 성산구 중앙동 93-1 지하101~103호 ,"경상남도 창원시 성산구 중앙대로 111  (중앙동,지하101~103호)",2007-07-11,영업/정상,영업중
예술공간 예닮,경상남도 김해시 동상동 497-13 ,경상남도 김해시 가야로515번길 4 (동상동),2021-07-13,영업/정상,영업중
엘룬유흥주점,경상남도 창원시 성산구 중앙동 97-6 켄버라타운 지하2층 201호 ,"경상남도 창원시 성산구 중앙대로61번길 4  (중앙동,켄버라타운 지하2층 201호)",2011-12-05,영업/정상,영업중
뉴캐슬나이트클럽,"경상남도 창원시 성산구 중앙동 99-1 메가플렉스 지하 1,2층 ","경상남도 창원시 성산구 용지로 58, 지하1,2층 (중앙동, 메가플렉스)",2013-08-13,영업/정상,영업중
가음아트홀,경상남도 창원시 성산구 가음동 7-3 가음정빌딩 ,"경상남도 창원시 성산구 가음정로43번길 1, 가음정빌딩 6층 605,606,607호 (가음동)",2022-03-04,영업/정상,영업중
통영시민문화회관(대극장),경상남도 통영시 동호동 230-1 시민문화회관 ,"경상남도 통영시 남망공원길 29, 통영시민문화회관 (동호동)",2003-03-07,영업/정상,영업중
통영시민문화회관(소극장),경상남도 통영시 동호동 230-1 시민문화회관 ,"경상남도 통영시 남망공원길 29, 통영시민문화회관 (동호동)",2003-03-07,영업/정상,영업중
마산문화예술센터 시민극장,경상남도 창원시 마산합포구 창동 64-10 1층 ,"경상남도 창원시 마산합포구 창동거리길 22, 1층 (창동)",2021-08-20,영업/정상,영업중
봉황예술극장,경상남도 김해시 봉황동 114 ,경상남도 김해시 가야의길 16 (봉황동),2021-10-08,영업/정상,영업중
거목문화예술센터,경상남도 고성군 고성읍 율대리 776-10 ,"경상남도 고성군 고성읍 공단로 37, 거목문화예술센터",2021-11-10,영업/정상,영업중
나비아트홀,경상남도 창원시 성산구 용호동 73-24 세원상가 ,"경상남도 창원시 성산구 용지로169번길 11-13, 세원상가 3층 (용호동)",2021-12-16,영업/정상,영업중
영성아트센터,경상남도 진주시 평거동 906 ,"경상남도 진주시 순환로 529, 영성빌딩 9층 (평거동)",2020-07-08,영업/정상,영업중
예술공간 우리마루,경상남도 창원시 마산회원구 내서읍 중리 1054 백로아파트 ,"경상남도 창원시 마산회원구 내서읍 중리상곡로 20, 백로아파트 상가동 5층 506호",2022-05-20,영업/정상,영업중
