"연도","시도군","분기","주중/말","시간대","성별","인구수"
"2024","거창군","3분기","주말","오후","여","1088943"
"2024","거창군","3분기","주말","오후","남","1079450"
"2024","거창군","4분기","평일","새벽","여","2373290"
"2024","거창군","4분기","평일","새벽","남","2350162"
"2024","거창군","4분기","평일","야간","여","2379607"
"2024","거창군","4분기","평일","야간","남","2351698"
"2024","거창군","4분기","평일","오전","여","2397004"
"2024","거창군","4분기","평일","오전","남","2368352"
"2024","거창군","4분기","평일","오후","여","2409555"
"2024","거창군","4분기","평일","오후","남","2378853"
"2024","거창군","4분기","주말","새벽","남","964220"
"2024","거창군","4분기","주말","새벽","여","988830"
"2024","거창군","4분기","주말","야간","남","961042"
"2024","거창군","4분기","주말","야간","여","978070"
"2024","거창군","4분기","주말","오전","남","992312"
"2024","거창군","4분기","주말","오전","여","1021072"
"2024","거창군","4분기","주말","오후","남","994981"
"2024","거창군","4분기","주말","오후","여","1020910"
"2024","고성군","1분기","평일","새벽","남","2045598"
"2024","고성군","1분기","평일","새벽","여","1770529"
"2024","고성군","1분기","평일","야간","남","2054376"
"2024","고성군","1분기","평일","야간","여","1774684"
"2024","고성군","1분기","평일","오전","남","2375954"
"2024","고성군","1분기","평일","오전","여","1881187"
"2024","고성군","1분기","평일","오후","남","2382450"
"2024","고성군","1분기","평일","오후","여","1902242"
"2024","고성군","1분기","주말","새벽","남","868838"
"2024","고성군","1분기","주말","새벽","여","776752"
"2024","고성군","1분기","주말","야간","남","851284"
"2024","고성군","1분기","주말","야간","여","755557"
"2024","고성군","1분기","주말","오전","여","825379"
"2024","고성군","1분기","주말","오전","남","958226"
"2024","고성군","1분기","주말","오후","남","965355"
"2024","고성군","1분기","주말","오후","여","843774"
"2024","고성군","2분기","평일","새벽","남","2033734"
"2024","고성군","2분기","평일","새벽","여","1754445"
"2024","고성군","2분기","평일","야간","남","2047410"
"2024","고성군","2분기","평일","야간","여","1759626"
"2024","고성군","2분기","평일","오전","남","2395213"
"2024","고성군","2분기","평일","오전","여","1898447"
"2024","고성군","2분기","평일","오후","여","1921510"
"2024","고성군","2분기","평일","오후","남","2394619"
"2024","고성군","2분기","주말","새벽","남","868015"
"2024","고성군","2분기","주말","새벽","여","773739"
"2024","고성군","2분기","주말","야간","여","766254"
"2024","고성군","2분기","주말","야간","남","863174"
"2024","고성군","2분기","주말","오전","여","840497"
"2024","고성군","2분기","주말","오전","남","970292"
"2024","고성군","2분기","주말","오후","남","975337"
"2024","고성군","2분기","주말","오후","여","861461"
"2024","고성군","3분기","평일","새벽","여","1808999"
"2024","고성군","3분기","평일","새벽","남","2099015"
"2024","고성군","3분기","평일","야간","남","2112005"
"2024","고성군","3분기","평일","야간","여","1809780"
"2024","고성군","3분기","평일","오전","남","2424432"
"2024","고성군","3분기","평일","오전","여","1939304"
"2024","고성군","3분기","평일","오후","남","2428845"
"2024","고성군","3분기","평일","오후","여","1962013"
"2024","고성군","3분기","주말","새벽","여","766865"
"2024","고성군","3분기","주말","새벽","남","872869"
"2024","고성군","3분기","주말","야간","남","877680"
"2024","고성군","3분기","주말","야간","여","769290"
"2024","고성군","3분기","주말","오전","남","970334"
"2024","고성군","3분기","주말","오전","여","821156"
"2024","고성군","3분기","주말","오후","여","847125"
"2024","고성군","3분기","주말","오후","남","972581"
"2024","고성군","4분기","평일","새벽","남","2031901"
"2024","고성군","4분기","평일","새벽","여","1723961"
"2024","고성군","4분기","평일","야간","남","2044831"
"2024","고성군","4분기","평일","야간","여","1732450"
"2024","고성군","4분기","평일","오전","남","2384939"
"2024","고성군","4분기","평일","오전","여","1861073"
"2024","고성군","4분기","평일","오후","남","2390634"
"2024","고성군","4분기","평일","오후","여","1887020"
"2024","고성군","4분기","주말","새벽","여","760995"
"2024","고성군","4분기","주말","새벽","남","867300"
"2024","고성군","4분기","주말","야간","남","860787"
"2024","고성군","4분기","주말","야간","여","751219"
"2024","고성군","4분기","주말","오전","남","974467"
"2024","고성군","4분기","주말","오전","여","822779"
"2024","고성군","4분기","주말","오후","남","991689"
"2024","고성군","4분기","주말","오후","여","860281"
"2024","김해시","1분기","평일","새벽","남","20011280"
"2024","김해시","1분기","평일","새벽","여","19011151"
"2024","김해시","1분기","평일","야간","남","19902545"
"2024","김해시","1분기","평일","야간","여","18897671"
"2024","김해시","1분기","평일","오전","남","19705433"
"2024","김해시","1분기","평일","오전","여","18640756"
"2024","김해시","1분기","평일","오후","남","19540409"
"2024","김해시","1분기","평일","오후","여","18487334"
"2024","김해시","1분기","주말","새벽","남","7952994"
"2024","김해시","1분기","주말","새벽","여","7556171"
"2024","김해시","1분기","주말","야간","남","7931902"
"2024","김해시","1분기","주말","야간","여","7551259"
"2024","김해시","1분기","주말","오전","남","7883780"
"2024","김해시","1분기","주말","오전","여","7463173"
"2024","김해시","1분기","주말","오후","남","7879062"
"2024","김해시","1분기","주말","오후","여","7454936"
"2024","김해시","2분기","평일","새벽","남","20014999"
"2024","김해시","2분기","평일","새벽","여","19044369"
"2024","김해시","2분기","평일","야간","남","19861312"
"2024","김해시","2분기","평일","야간","여","18915249"
"2024","김해시","2분기","평일","오전","남","19695525"
"2024","김해시","2분기","평일","오전","여","18687681"
"2024","김해시","2분기","평일","오후","남","19555785"
"2024","김해시","2분기","평일","오후","여","18535028"
"2024","김해시","2분기","주말","새벽","남","7966564"
"2024","김해시","2분기","주말","새벽","여","7570183"
"2024","김해시","2분기","주말","야간","남","7923625"
"2024","김해시","2분기","주말","야간","여","7553891"
"2024","김해시","2분기","주말","오전","남","7919370"
"2024","김해시","2분기","주말","오전","여","7497614"
"2024","김해시","2분기","주말","오후","남","7887623"
"2024","김해시","2분기","주말","오후","여","7465821"
"2024","김해시","3분기","평일","새벽","남","20278437"
"2024","김해시","3분기","평일","새벽","여","19271839"
"2024","김해시","3분기","평일","야간","남","20125473"
