사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
남해청소년수련원,경상남도 남해군 삼동면 금송리 119 ,경상남도 남해군 삼동면 동부대로 1542-35,2010-08-03,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2011-07-12,영업/정상,영업중,일반유원시설업
한국레포츠연맹,경상남도 남해군 상주면 상주리 588-1번지 ,경상남도 남해군 상주면 남해대로 651,2006-08-02,영업/정상,영업중,일반유원시설업
한려유스호스텔,경상남도 남해군 삼동면 금송리 119번지 ,경상남도 남해군 삼동면 동부대로 1542-35,2010-08-05,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2013-07-05,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2009-07-17,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2010-07-22,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1271-3번지 ,,2004-07-26,영업/정상,영업중,일반유원시설업
상주랜드,경상남도 남해군 상주면 상주리 1272-1번지 ,,2014-07-03,영업/정상,영업중,일반유원시설업
대성랜드,경기도 가평군 청평면 대성리 576번지 ,경기도 가평군 청평면 모꼬지로 76,2008-07-25,영업/정상,영업중,일반유원시설업
호박덩쿨 레일바이크,경상남도 하동군 북천면 직전리 1477-2 북천역 ,"경상남도 하동군 북천면 경서대로 2446-6, 북천역",2019-08-19,영업/정상,영업중,일반유원시설업
하동 알프스레포츠,경상남도 하동군 금남면 중평리 796 ,경상남도 하동군 금남면 경충로 493-37,2018-10-23,영업/정상,영업중,일반유원시설업
(주)옥종불소 유황천 워터파크,경상남도 하동군 옥종면 정수리 65-1번지 외2필지 ,경상남도 하동군 옥종면 세종태실로 581,2009-06-29,영업/정상,영업중,일반유원시설업
우두령펜션,경상남도 거창군 웅양면 산포리 707번지 ,경상남도 거창군 웅양면 어인안길 56-111,2012-10-23,영업/정상,영업중,일반유원시설업
스타 디스코팡팡,경상남도 창원시 마산회원구 합성동 126-29 지하1층 ,"경상남도 창원시 마산회원구 합성옛길 131, 지하1층 (합성동)",2014-06-03,영업/정상,영업중,일반유원시설업
상상체험 키즈월드,경상남도 창원시 의창구 대원동 123번지 창원컨벤션센터 ,"경상남도 창원시 의창구 원이대로 362, 창원컨벤션센터 제1,2 전시장 (대원동)",2019-12-20,영업/정상,영업중,일반유원시설업
청곡사,경상남도 진주시 금산면 갈전리 18번지 ,경상남도 진주시 금산면 월아산로1440번길 138,2003-04-11,영업/정상,지정,전통사찰
총림선원,경상남도 진주시 망경동 619번지 ,경상남도 진주시 망진산길 71 (망경동),2006-01-26,영업/정상,지정,전통사찰
응석사,경상남도 진주시 집현면 정평리 741번지 ,경상남도 진주시 집현면 응석로 435,2003-05-18,영업/정상,지정,전통사찰
성전암,경상남도 진주시 이반성면 장안리 산 31번지 ,,2003-05-18,영업/정상,지정,전통사찰
두방사,경상남도 진주시 문산읍 상문리 325번지 ,경상남도 진주시 문산읍 동부로781번길 267,2003-05-18,영업/정상,지정,전통사찰
호국사,경상남도 진주시 남성동 214-5번지 ,경상남도 진주시 남강로 626-71 (남성동),2003-05-18,영업/정상,지정,전통사찰
연화사,경상남도 진주시 옥봉동 449-1번지 ,경상남도 진주시 향교로42번길 13 (옥봉동),2003-05-18,영업/정상,지정,전통사찰
의곡사,경상남도 진주시 상봉동 415-1번지 ,경상남도 진주시 의곡길 72 (상봉동),2003-05-18,영업/정상,지정,전통사찰
안정사,경상남도 통영시 광도면 안정리 1888번지 ,경상남도 통영시 광도면 안정1길 363,1988-06-10,영업/정상,지정,전통사찰
용화사,경상남도 통영시 봉평동 404번지 ,경상남도 통영시 봉수로 107-82 (봉평동),1973-09-08,영업/정상,지정,전통사찰
다솔사,경상남도 사천시 곤명면 용산리 86번지 ,경상남도 사천시 곤명면 다솔사길 417,1988-06-10,영업/정상,지정,전통사찰
영구암,경상남도 김해시 삼방동 882-1번지 ,경상남도 김해시 신어산길 170 (삼방동),2003-05-20,영업/정상,지정,전통사찰
장유암,경상남도 김해시 대청동 1129번지 ,경상남도 김해시 대청계곡길 170-563 (대청동),1988-06-10,영업/정상,지정,전통사찰
모은암,경상남도 김해시 생림면 생철리 산 180번지 ,경상남도 김해시 생림면 마사로 36-228,2003-05-20,영업/정상,지정,전통사찰
구천암,경상남도 김해시 생림면 생철리 산 58-4번지 ,경상남도 김해시 생림면 마사로229번길 58-175,2003-05-20,영업/정상,지정,전통사찰
원명사,경상남도 김해시 대동면 초정리 208번지 ,경상남도 김해시 대동면 대동로529번길 83,2003-05-20,영업/정상,지정,전통사찰
백운암,경상남도 김해시 상동면 여차리 산 175번지 ,경상남도 김해시 상동면 여차로471번안길 16-133,1988-11-24,영업/정상,지정,전통사찰
해은사,경상남도 김해시 어방동 964번지 ,경상남도 김해시 가야로405번안길 210-162 (어방동),2003-05-21,영업/정상,지정,전통사찰
선지사,경상남도 김해시 주촌면 선지리 501번지 ,경상남도 김해시 주촌면 서부로1743번길 28,2007-02-01,영업/정상,지정,전통사찰
은하사,경상남도 김해시 삼방동 882번지 ,경상남도 김해시 신어산길 167 (삼방동),1988-06-10,영업/정상,지정,전통사찰
성조암,경상남도 김해시 삼정동 2번지 ,경상남도 김해시 활천로 121-57 (삼정동),1988-09-10,영업/정상,지정,전통사찰
흥부암,경상남도 김해시 외동 산 2번지 ,경상남도 김해시 전하로 269-74 (외동),1988-09-10,영업/정상,지정,전통사찰
무봉사,경상남도 밀양시 내일동 37번지 ,경상남도 밀양시 영남루1길 16-11  (내일동),1988-06-10,영업/정상,지정,전통사찰
만어사,경상남도 밀양시 삼랑진읍 용전리 4번지 ,경상남도 밀양시 삼랑진읍 만어로 776,1988-06-10,영업/정상,지정,전통사찰
석골사,경상남도 밀양시 산내면 원서리 454번지 ,경상남도 밀양시 산내면 원서3길 167,1988-06-10,영업/정상,지정,전통사찰
홍제사,경상남도 밀양시 무안면 무안리 901-4번지 ,경상남도 밀양시 무안면 동부동안길 4,1988-06-30,영업/정상,지정,전통사찰
대법사,경상남도 밀양시 무안면 중산리 1128번지 ,,1988-10-28,영업/정상,지정,전통사찰
용궁사,경상남도 밀양시 가곡동 692번지 ,,2013-02-25,영업/정상,지정,전통사찰
표충사,경상남도 밀양시 단장면 감물리 23번지 ,,1988-06-10,영업/정상,지정,전통사찰
세진암,경상남도 거제시 거제면 동상리 270-2번지 ,경상남도 거제시 거제면 동상3길 31-6,1973-09-08,영업/정상,지정,전통사찰
원효암,경상남도 양산시 상북면 대석리 산 1-1번지 ,,1997-08-14,영업/정상,지정,전통사찰
용화사,경상남도 양산시 물금읍 물금리 595번지 ,경상남도 양산시 물금읍 원동로 199-133,1973-11-21,영업/정상,지정,전통사찰
내원사,경상남도 양산시 하북면 용연리 291번지 ,경상남도 양산시 하북면 내원로 207,1973-10-10,영업/정상,지정,전통사찰
신흥사,경상남도 양산시 원동면 영포리 268번지 ,경상남도 양산시 원동면 원동로 2282-111,1973-10-08,영업/정상,지정,전통사찰
법천사,경상남도 양산시 동면 금산리 105번지 ,경상남도 양산시 동면 금산2길 210,2014-01-03,영업/정상,지정,전통사찰
홍룡사,경상남도 양산시 상북면 대석리 산 1번지 ,,1988-10-19,영업/정상,지정,전통사찰
통도사,경상남도 양산시 하북면 지산리 583번지 ,경상남도 양산시 하북면 통도사로 108,1962-12-14,영업/정상,지정,전통사찰
계원사,경상남도 양산시 중부동 74번지 ,경상남도 양산시 중앙우회로 66-64  (중부동),1974-04-20,영업/정상,지정,전통사찰
미타암,경상남도 양산시 소주동 171번지 ,경상남도 양산시 소주로 65  (소주동),1973-10-08,영업/정상,지정,전통사찰
백련암,경상남도 의령군 가례면 개승리 792번지 ,경상남도 의령군 가례면 자굴산로 1150-142,1988-06-10,영업/정상,지정,전통사찰
유학사,경상남도 의령군 부림면 묵방리 49번지 ,경상남도 의령군 부림면 여배로5길 2,1988-06-10,영업/정상,지정,전통사찰
수도사,경상남도 의령군 용덕면 이목리 636번지 ,경상남도 의령군 용덕면 덕암로 581-137,1988-06-10,영업/정상,지정,전통사찰
운암사,경상남도 의령군 부림면 경산리 837번지 ,경상남도 의령군 부림면 고루로 945-107,1988-06-10,영업/정상,지정,전통사찰
장춘사,경상남도 함안군 칠북면 영동리 14번지 ,경상남도 함안군 칠북면 북원로 110-1,1988-06-10,영업/정상,지정,전통사찰
원효암,경상남도 함안군 군북면 사촌리 산 70-1번지 ,경상남도 함안군 군북면 사촌4길 863,1988-09-10,영업/정상,지정,전통사찰
장춘사,경상남도 함안군 칠북면 영동리 14번지 ,경상남도 함안군 칠북면 북원로 110-1,1988-06-10,영업/정상,지정,전통사찰
청련사,경상남도 창녕군 계성면 사리 852번지 ,경상남도 창녕군 계성면 계성화왕산로 288-102,1988-06-10,영업/정상,지정,전통사찰
관룡사,경상남도 창녕군 창녕읍 옥천리 292번지 ,경상남도 창녕군 창녕읍 화왕산관룡사길 171,1988-06-10,영업/정상,지정,전통사찰
극락암,경상남도 창녕군 창녕읍 옥천리 397번지 ,경상남도 창녕군 창녕읍 새말길 142,1988-06-10,영업/정상,지정,전통사찰
법화암,경상남도 창녕군 영산면 구계리 1135-4번지 ,경상남도 창녕군 영산면 적지길 184,1988-06-10,영업/정상,지정,전통사찰
창녕포교당,경상남도 창녕군 창녕읍 말흘리 123-2번지 ,경상남도 창녕군 창녕읍 신당2길 4-3,1988-06-10,영업/정상,지정,전통사찰
도성암,경상남도 창녕군 창녕읍 송현리 8번지 ,경상남도 창녕군 창녕읍 자하곡길 147,1988-06-10,영업/정상,지정,전통사찰
석불사,경상남도 창녕군 창녕읍 말흘리 398-1번지 ,경상남도 창녕군 창녕읍 화왕산로 135-71,1988-06-30,영업/정상,지정,전통사찰
삼성암,경상남도 창녕군 계성면 사리 산 78번지 ,경상남도 창녕군 계성면 북암길 147,1988-06-10,영업/정상,지정,전통사찰
계승사,경상남도 고성군 영현면 대법리 17-1번지 ,경상남도 고성군 영현면 대법3길 236,2000-11-28,영업/정상,지정,전통사찰
문수암,경상남도 고성군 상리면 무선리 134번지 ,경상남도 고성군 상리면 무선2길 494,1988-06-10,영업/정상,지정,전통사찰
운흥사,경상남도 고성군 하이면 와룡리 442번지 ,경상남도 고성군 하이면 와룡2길 248-28,1988-06-10,영업/정상,지정,전통사찰
장의사,경상남도 고성군 거류면 신용리 1077번지 ,경상남도 고성군 거류면 신용9길 295,1988-06-10,영업/정상,지정,전통사찰
옥천사,경상남도 고성군 개천면 북평리 408번지 ,경상남도 고성군 개천면 연화산1로 471-9,1988-06-10,영업/정상,지정,전통사찰
용문사,경상남도 남해군 이동면 용소리 868번지 ,경상남도 남해군 이동면 용문사길 166-11,1988-06-10,영업/정상,지정,전통사찰
보리암,경상남도 남해군 상주면 상주리 2065번지 ,경상남도 남해군 상주면 보리암로 665,1988-06-10,영업/정상,지정,전통사찰
화방사,경상남도 남해군 고현면 대곡리 1448번지 ,경상남도 남해군 고현면 화방사길 128-6,2003-03-11,영업/정상,지정,전통사찰
운대암,경상남도 남해군 창선면 옥천리 1042번지 ,경상남도 남해군 창선면 창선로153번길 240,2003-03-11,영업/정상,지정,전통사찰
법흥사,경상남도 남해군 남해읍 북변리 595번지 ,경상남도 남해군 남해읍 망운로10번길 45-10,2003-03-11,영업/정상,지정,전통사찰
망운암,경상남도 남해군 남해읍 아산리 ,경상남도 남해군 남해읍 남서대로2240번길 708,2001-11-06,영업/정상,지정,전통사찰
학방사,경상남도 하동군 양보면 박달리 133-1번지 ,경상남도 하동군 양보면 상고개로 377-59,1974-07-26,영업/정상,지정,전통사찰
칠성사,경상남도 하동군 악양면 신흥리 3번지 ,경상남도 하동군 악양면 신흥길 121-120,2015-02-05,영업/정상,지정,전통사찰
양천암,경상남도 하동군 북천면 화정리 산 200번지 ,경상남도 하동군 북천면 상촌길 184-128,1991-12-16,영업/정상,지정,전통사찰
쌍계사,경상남도 하동군 화개면 운수리 207번지 ,경상남도 하동군 화개면 쌍계사길 59,1962-12-14,영업/정상,지정,전통사찰
칠불사,경상남도 하동군 화개면 범왕리 1605번지 ,경상남도 하동군 화개면 범왕길 528,1974-02-26,영업/정상,지정,전통사찰
한산사,경상남도 하동군 악양면 평사리 산 47번지 ,,1975-07-10,영업/정상,지정,전통사찰
정취암,경상남도 산청군 신등면 양전리 산 78번지 ,경상남도 산청군 신등면 둔철산로 675-87,2003-04-08,영업/정상,지정,전통사찰
내원사,경상남도 산청군 삼장면 대포리 583번지 ,경상남도 산청군 삼장면 대하내원로 256,2005-01-27,영업/정상,지정,전통사찰
심적사,경상남도 산청군 산청읍 내리 1127번지 ,경상남도 산청군 산청읍 웅석봉로 495,2004-05-18,영업/정상,지정,전통사찰
법계사,경상남도 산청군 시천면 중산리 873번지 ,경상남도 산청군 시천면 지리산대로 320-292,2008-01-15,영업/정상,지정,전통사찰
심적정사,경상남도 산청군 산청읍 지리 287번지 ,경상남도 산청군 산청읍 꽃봉산로133번길 15,2003-04-08,영업/정상,지정,전통사찰
율곡사,경상남도 산청군 신등면 율현리 1030번지 ,경상남도 산청군 신등면 율곡사길 182,2003-04-08,영업/정상,지정,전통사찰
대원사,경상남도 산청군 삼장면 유평리 2번지 ,경상남도 산청군 삼장면 평촌유평로 453,2003-04-08,영업/정상,지정,전통사찰
지곡사,경상남도 산청군 산청읍 내리 772-5번지 ,경상남도 산청군 산청읍 웅석봉로 396,1998-11-30,영업/정상,지정,전통사찰
용추사,경상남도 함양군 안의면 상원리 962번지 ,경상남도 함양군 안의면 용추계곡로 623,1973-11-03,영업/정상,지정,전통사찰
영각사,경상남도 함양군 서상면 상남리 1047번지 ,경상남도 함양군 서상면 덕유월성로 567,1973-11-03,영업/정상,지정,전통사찰
상연대,경상남도 함양군 백전면 백운리 산 78-1번지 ,경상남도 함양군 백전면 백운산길 3-291,1986-01-18,영업/정상,지정,전통사찰
금대암,경상남도 함양군 마천면 가흥리 17-1번지 ,경상남도 함양군 마천면 천왕봉로 1035-337,2003-03-26,영업/정상,지정,전통사찰
벽송사,경상남도 함양군 마천면 추성리 259번지 ,경상남도 함양군 마천면 광점길 27-177,1973-11-03,영업/정상,지정,전통사찰
영원사,경상남도 함양군 마천면 삼정리 953번지 ,경상남도 함양군 마천면 마천삼정로 544-644,2003-01-24,영업/정상,지정,전통사찰
보림사,경상남도 함양군 함양읍 운림리 289번지 ,경상남도 함양군 함양읍 운림1길 3-1,1975-04-10,영업/정상,지정,전통사찰
연수사,경상남도 거창군 남상면 무촌리 40-1번지 ,경상남도 거창군 남상면 연수사길 115-103,1988-06-10,영업/정상,지정,전통사찰
송계사,경상남도 거창군 북상면 소정리 1694번지 ,경상남도 거창군 북상면 송계사길 321,1988-06-10,영업/정상,지정,전통사찰
고견사,경상남도 거창군 가조면 수월리 1번지 ,경상남도 거창군 가조면 의상봉길 1049,1988-09-10,영업/정상,지정,전통사찰
금봉암,경상남도 거창군 고제면 봉산리 산 236-1번지 ,경상남도 거창군 고제면 용초길 310-428,1988-09-10,영업/정상,지정,전통사찰
해인사,경상남도 합천군 가야면 치인리 10번지 ,경상남도 합천군 가야면 해인사길 118-31,2002-12-24,영업/정상,지정,전통사찰
연호사,경상남도 합천군 합천읍 합천리 203번지 ,경상남도 합천군 합천읍 죽죽길 72-7,1973-11-03,영업/정상,지정,전통사찰
광산사,경상남도 창원시 마산회원구 내서읍 신감리 474번지 ,,1973-12-04,영업/정상,지정,전통사찰
정법사,경상남도 창원시 마산합포구 추산동 65-1번지 ,,1973-11-06,영업/정상,지정,전통사찰
의림사,경상남도 창원시 마산합포구 진북면 인곡리 439번지 ,,1982-07-21,영업/정상,지정,전통사찰
우곡사,경상남도 창원시 의창구 동읍 단계리 7번지 ,,1973-12-04,영업/정상,지정,전통사찰
불곡사,경상남도 창원시 성산구 대방동 1036번지 ,,1989-08-07,영업/정상,지정,전통사찰
성주사,경상남도 창원시 성산구 천선동 102번지 ,,1973-11-06,영업/정상,지정,전통사찰
성덕암,경상남도 창원시 마산합포구 추산동 산 1번지 ,,1988-09-10,영업/정상,지정,전통사찰
성흥사,경상남도 창원시 진해구 대장동 180번지 ,,1973-12-04,영업/정상,지정,전통사찰
성흥사,경상남도 창원시 진해구 대장동 180번지 ,경상남도 창원시 진해구 대장로 273 (대장동),1973-12-04,영업/정상,지정,전통사찰
제이씨락롤러장,경상남도 창원시 진해구 장천동 409-5 제이씨빌딩 701호,"경상남도 창원시 진해구 충장로657번길 38, 제이씨빌딩 701호 (장천동)",2020-03-04,영업/정상,영업중,유원시설업(기타)
보현박물관,경상남도 밀양시 단장면 고례리 1604번지 0호  1동 1호,"경상남도 밀양시 단장면 고례로 766-21, 1동 1층",2020-05-07,영업/정상,영업,"박물관, 미술관"
포로수용소유적박물관,경상남도 거제시 고현동 362번지  ,경상남도 거제시 계룡로 61 (고현동),2012-12-29,영업/정상,영업,"박물관, 미술관"
로봇랜드,경상남도 창원시 마산합포구 구산면 반동리 산 121-1 ,경상남도 창원시 마산합포구 구산면 로봇랜드로 250,2019-09-03,영업/정상,영업중,종합유원시설업
KIDS RUN,경상남도 김해시 외동 1264 신세계백화점 2층 ,"경상남도 김해시 김해대로 2232, 신세계백화점 2층 (외동)",2020-06-23,영업/정상,영업중,유원시설업(기타)
산삼주제관 ICT VR체험존,경상남도 함양군 함양읍 교산리 1043 ,"경상남도 함양군 함양읍 대맛길 107, 산삼주제관 2층",2020-07-17,영업/정상,영업중,유원시설업(기타)
덕산사,경상남도 산청군 삼장면 대포리 583 ,경상남도 산청군 삼장면 대하내원로 256,2005-02-16,영업/정상,,전통사찰
어메이징파크(주)함양,경상남도 함양군 함양읍 이은리 226-24 ,경상남도 함양군 함양읍 함양남서로 879,2022-06-13,영업/정상,영업중,유원시설업(기타)
소꿈,경상남도 창원시 마산합포구 교방동 385-25 ,경상남도 창원시 마산합포구 천하장사로 11 (교방동),2020-07-23,영업/정상,영업중,유원시설업(기타)
창원컨벤션센터,경상남도 창원시 성산구 대원동 123 ,경상남도 창원시 성산구 원이대로 362 (대원동),2006-08-01,영업/정상,영업중,국제회의시설업
마리나베이,경상남도 거제시 일운면 소동리 115 ,경상남도 거제시 일운면 거제대로 2660,2014-06-16,영업/정상,영업중,관광유람선업
서지농원,경상남도 산청군 시천면 반천리 산 65 서지관광농원 ,"경상남도 산청군 시천면 반천로 211-102, 서지관광농원",2020-05-11,영업/정상,영업중,유원시설업(기타)
게임파크(GAME PARK),경상남도 창원시 성산구 상남동 79 롯데백화점 3층 ,"경상남도 창원시 성산구 중앙대로 124, 롯데백화점 3층 (상남동)",2021-10-20,영업/정상,영업중,유원시설업(기타)
FUN RUN,경상남도 김해시 외동 1264 ,"경상남도 김해시 김해대로 2232, 신세계백화점 김해점 2층 (외동)",2020-11-10,영업/정상,영업중,유원시설업(기타)
양지생태마을캠핑장,경상남도 거창군 마리면 말흘리 83-1 ,경상남도 거창군 마리면 진산길 157,2022-06-16,영업/정상,영업중,유원시설업(기타)
한국궁중꽃박물관,경상남도 양산시 매곡동 823번지 0호  ,경상남도 양산시 매곡외산로 232-0 (매곡동),2009-01-05,영업/정상,영업,"박물관, 미술관"
외도조경식물원,경상남도 거제시 일운면 와현리 산 109번지  ,경상남도 거제시 일운면 외도길 17,2001-06-11,영업/정상,영업,"박물관, 미술관"
아케이드코리아,경상남도 김해시 외동 1421 이진캐스빌 2차 아파트(상가) 104동 103호,"경상남도 김해시 분성로 30, 이진캐스빌 2차 아파트(상가) 104동 103호 (외동)",2020-10-21,영업/정상,영업중,유원시설업(기타)
표충사호국박물관,경상남도 밀양시 단장면 구천리 23번지  ,경상남도 밀양시 단장면 표충로 1338,2002-11-25,영업/정상,영업,"박물관, 미술관"
성흥사,경상남도 창원시 진해구 대장동 180 ,경상남도 창원시 진해구 대장로 273 (대장동),1988-06-10,영업/정상,,전통사찰
주식회사 케이커머스,경상남도 창원시 성산구 중앙동 91 창원이마트 ,"경상남도 창원시 성산구 원이대로 608, 창원이마트 2층 (중앙동)",2020-10-27,영업/정상,영업중,유원시설업(기타)
벨르앙쥬,경상남도 거제시 아주동 695 ,"경상남도 거제시 용소1길 15, 302호 (아주동)",2020-11-02,영업/정상,영업중,유원시설업(기타)
정법사,경상남도 창원시 마산합포구 추산동 65 - 2 ,경상남도 창원시 마산합포구 몽고정길 46 (추산동),1973-11-06,영업/정상,,전통사찰
다이아몬드컨트리클럽(주),경상남도 양산시 상북면 상삼리 산 15 ,경상남도 양산시 상북면 공원로 305-391,2020-11-04,영업/정상,영업중,전문휴양업
흥부암,경상남도 김해시 외동 산 23 - 1 ,경상남도 김해시 전하로 269-74 (외동),1988-09-10,영업/정상,,전통사찰
점핑타임,경상남도 김해시 어방동 474-2 ,"경상남도 김해시 인제로 168, 정석빌딩 가동 7층 701호 (어방동)",2020-11-19,영업/정상,영업중,유원시설업(기타)
용추오토캠핑장,경상남도 함양군 안의면 상원리 757-8 용추오토캠핑장 관리사무소 ,"경상남도 함양군 안의면 용추계곡로 493, 용추오토캠핑장 관리사무소",2021-09-10,영업/정상,영업중,유원시설업(기타)
아이행복키움터,경상남도 창녕군 창녕읍 교리 1042-3 ,경상남도 창녕군 창녕읍 명덕로 22,2020-12-03,영업/정상,영업중,유원시설업(기타)
사천첨단항공우주과학관,경상남도 사천시 사남면 유천리 908 사천첨단항공우주과학관 ,"경상남도 사천시 사남면 공단1로 108, 사천첨단항공우주과학관",2022-07-21,영업/정상,영업중,일반유원시설업
꼬마대통령,경상남도 양산시 중부동 693-2 비젼플라자 ,"경상남도 양산시 삽량로 193, 비젼플라자 5층 (중부동)",2022-05-02,영업/정상,영업중,유원시설업(기타)
대한불교조계종 은하사,경상남도 김해시 삼방동 882 ,경상남도 김해시 신어산길 167 (삼방동),1988-06-10,영업/정상,,전통사찰
진북편백골관광농원캠핑장,"경상남도 창원시 마산합포구 진북면 금산리 437 (외 2번지, 283-1, 449-1) ",경상남도 창원시 마산합포구 진북면 금산길 209-81,2020-12-08,영업/정상,영업중,유원시설업(기타)
광산사,경상남도 마산시 내서읍 신감리 474 ,경상남도 창원시 마산회원구 내서읍 광려로 542,1988-06-10,영업/정상,,전통사찰
법화사,경상남도 창녕군 영산면 구계리 산 37 - 1 ,경상남도 창녕군 영산면 적지길 184-0,1988-06-10,영업/정상,,전통사찰
경상국립대학교박물관,경상남도 진주시 가좌동 900번지 0호  ,경상남도 진주시 진주대로 501-0 (가좌동),2000-11-20,영업/정상,영업,"박물관, 미술관"
고성군 씨름장 물놀이장,경상남도 고성군 고성읍 기월리 611 ,경상남도 고성군 고성읍 송학고분로 193,2020-07-31,영업/정상,영업중,유원시설업(기타)
대구보건대학교 보현박물관,경상남도 밀양시 단장면 고례리 1604번지 0호  ,"경상남도 밀양시 단장면 고례로 766-21, 1동",2021-01-05,영업/정상,영업,"박물관, 미술관"
도천희망나눔터 키즈카페,경상남도 통영시 도천동 998-3 도천동주민센터 이동민원실 ,"경상남도 통영시 통영해안로 147-7, 도천동주민센터 이동민원실 1층 (도천동)",2021-11-12,영업/정상,영업중,유원시설업(기타)
옥천사,경상남도 고성군 개천면 북평리 408 ,경상남도 고성군 개천면 연화산1로 471-9,1988-06-10,영업/정상,,전통사찰
대봉캠핑랜드,경상남도 함양군 병곡면 원산리 산 1-4 캠핑지원관 ,"경상남도 함양군 병곡면 원산지소길 192, 캠핑지원관",2021-12-22,영업/정상,영업중,전문휴양업
성조암,경상남도 김해시 삼정동 2 ,경상남도 김해시 활천로 121-57 (삼정동),1988-09-10,영업/정상,,전통사찰
꼬마대통령,경상남도 창원시 진해구 풍호동 805-5 ,"경상남도 창원시 진해구 천자로 389, 마린프라자 4층 (풍호동)",2020-09-21,영업/정상,영업중,유원시설업(기타)
(주)키즈몬스터,경상남도 김해시 장유동 840-4 ,"경상남도 김해시 율하숲길 21, 로하스디딤빌딩 4층 402호 (장유동)",2021-08-10,영업/정상,영업중,유원시설업(기타)
아이비오토캠핑장,경상남도 밀양시 산내면 원서리 676 ,,2021-11-15,영업/정상,영업중,유원시설업(기타)
(주)드림랜드 자연휴양림,경상남도 하동군 옥종면 종화리 538-6 ,경상남도 하동군 옥종면 옥단로 1443-347,2011-09-20,영업/정상,영업중,종합휴양업
원명사,경상남도 김해시 대동면 초정리 208 ,경상남도 김해시 대동면 대동로529번길 83,1988-10-25,영업/정상,,전통사찰
키즈다쿵&베이비테라스,경상남도 김해시 장유동 825-1 ,"경상남도 김해시 율하6로 62, 율하테라스 4층 (장유동)",2021-03-05,영업/정상,영업중,유원시설업(기타)
주식회사케이커머스,경상남도 김해시 외동 1264 이마트 김해점 2층 ,"경상남도 김해시 김해대로 2232, 이마트 김해점 2층 (외동)",2020-05-22,영업/정상,영업중,유원시설업(기타)
달빛고운병곡캠핑장,경상남도 거창군 북상면 병곡리 768-4 ,경상남도 거창군 북상면 병곡길 449,2022-06-29,영업/정상,영업중,유원시설업(기타)
(주)하나로고속관광,경상남도 창원시 의창구 용호동 73-61 ,경상남도 창원시 의창구 원이대로 581 (용호동),2010-12-24,영업/정상,영업중,시내순환관광업
가야랜드,경상남도 김해시 삼방동 산 123 ,경상남도 김해시 인제로 368 (삼방동),1991-10-05,영업/정상,영업중,종합유원시설업
오션 비스타 제주호,경상남도 사천시 향촌동 1287 ,경상남도 사천시 신항만1길 76 (향촌동),2021-03-26,영업/정상,영업중,관광유람선업
주식회사 지세포관광유람선,경상남도 거제시 일운면 지세포리 929-90 ,경상남도 거제시 일운면 지세포해안로 89-19,2015-08-20,영업/정상,영업중,관광유람선업
세진암,경상남도 거제시 거제면 동상리 270 - 1 ,경상남도 거제시 거제면 동상3길 31-6,1988-06-10,영업/정상,,전통사찰
옥천사성보박물관,경상남도 고성군 개천면 북평리 408번지  ,경상남도 고성군 개천면 연화산1로 471-9,2017-06-29,영업/정상,영업,"박물관, 미술관"
내원사,경상남도 양산시 하북면 용연리 291 ,경상남도 양산시 하북면 내원로 207,1988-06-10,영업/정상,,전통사찰
무봉사,경상남도 밀양시 내일동 37 ,경상남도 밀양시 영남루1길 16-11 (내일동),1988-06-10,영업/정상,,전통사찰
부경동물원,경상남도 김해시 유하동 88번지 ,경상남도 김해시 유하로 41 (유하동),2013-09-27,영업/정상,영업중,종합휴양업
부경동물원,경상남도 김해시 유하동 88 ,경상남도 김해시 유하로226번길 70 (유하동),2013-09-27,영업/정상,영업중,전문휴양업
안국사,경상남도 함양군 마천면 가흥리 1131 ,경상남도 함양군 마천면 천왕봉로 1035-337,2013-02-28,영업/정상,지정,전통사찰
4D입체체험관(양산신도시점),경상남도 양산시 중부동 691-17 남해해물탕조개구이 ,"경상남도 양산시 양산역6길 24, 남해해물탕조개구이 106호 (중부동)",2021-05-25,영업/정상,영업중,유원시설업(기타)
캠프포레,경상남도 양산시 원동면 선리 6 ,경상남도 양산시 원동면 청수골길 106,2020-06-22,영업/정상,영업중,유원시설업(기타)
모은암,경상남도 김해시 생림면 생철리 산 180 ,경상남도 김해시 생림면 마사로 36-228,1988-07-05,영업/정상,,전통사찰
지리산 대경 캠핑장,경상남도 산청군 시천면 동당리 577 덕산관광휴양지 ,"경상남도 산청군 시천면 지리산대로 855, 덕산관광휴양지",2022-04-01,영업/정상,영업중,유원시설업(기타)
꿈그린터,경상남도 하동군 하동읍 읍내리 457 ,경상남도 하동군 하동읍 청년회관길 8-21,2022-02-25,영업/정상,영업중,유원시설업(기타)
(주)키즈스테이호텔인부곡,경상남도 창녕군 부곡면 거문리 217-8 ,"경상남도 창녕군 부곡면 온천2길 48, 키즈스테이호텔 지하1층",2021-06-02,영업/정상,영업중,유원시설업(기타)
