사업장명,지번주소,도로명주소,인허가일자,영업상태,상세영업상태,구분
키즈팡팡 김해외동점,경상남도 김해시 외동 1253-3 경원빌딩 401호,"경상남도 김해시 함박로101번길 8, 경원빌딩 4층 (외동)",2019-07-15,영업/정상,영업중,유원시설업(기타)
잼팍어드벤쳐,경상남도 김해시 대청동 52-1번지 601~3호,"경상남도 김해시 번화1로79번길 26, 로젠잼팍빌딩 6층 (대청동)",2019-08-08,영업/정상,영업중,유원시설업(기타)
키즈박스,경상남도 김해시 주촌면 선지리 1016-2 402~4호,"경상남도 김해시 주촌면 선지로97번길 6, 에이스 프라자 4층 2~4호",2019-11-20,영업/정상,영업중,유원시설업(기타)
그린고속관광(주),경상남도 창원시 성산구 중앙동 101-1 경남오피스텔 1003호,"경상남도 창원시 성산구 중앙대로 37, 경남오피스텔 10층 1003호 (중앙동)",2010-09-14,영업/정상,영업중,시내순환관광업
주식회사 굿플레이,경상남도 김해시 외동 1264 신세계백화점 5층 ,"경상남도 김해시 김해대로 2232, 신세계백화점 5층 (외동)",2019-11-26,영업/정상,영업중,유원시설업(기타)
샤랄랄라 키즈카페,경상남도 김해시 부곡동 1159-3 베스트월드 501호,"경상남도 김해시 능동로155번길 10-21, 베스트월드 5층 501호 (부곡동)",2019-03-28,영업/정상,영업중,유원시설업(기타)
오렌지가족오락테마파크,경상남도 김해시 외동 1249-4번지 한국2차아파트 주상가동 지하201호,"경상남도 김해시 함박로 102, 주상가동 지하2층 201호 (외동, 한국2차아파트)",2019-03-15,영업/정상,영업중,유원시설업(기타)
아이스퀘어몰 김해점 챔피언,경상남도 김해시 부원동 1043번지 ,"경상남도 김해시 김해대로 2342, A202호 (부원동)",2018-10-12,영업/정상,영업중,유원시설업(기타)
J키즈카페,경상남도 김해시 동상동 745-1번지 ,"경상남도 김해시 호계로 488, 김해제일교회 (동상동)",2018-11-15,영업/정상,영업중,유원시설업(기타)
신세계백화점 김해점 리틀란드,경상남도 김해시 외동 1264번지 ,"경상남도 김해시 김해대로 2232, 신세계백화점 2층 (외동)",2018-10-02,영업/정상,영업중,유원시설업(기타)
샤랄라 키즈카페,경상남도 김해시 진영읍 여래리 970 ,"경상남도 김해시 진영읍 본산로 9, 우리마트 3층",2018-03-19,영업/정상,영업중,유원시설업(기타)
베니주니키즈카페,경상남도 김해시 진영읍 진영리 1612-4 10층 ,"경상남도 김해시 진영읍 김해대로361번길 16, 10층",2017-07-07,영업/정상,영업중,유원시설업(기타)
가온,경상남도 밀양시 산외면 다죽리 951 ,경상남도 밀양시 산외면 산외강변로 309,2019-11-28,영업/정상,영업중,유원시설업(기타)
우리동네놀이터,경상남도 밀양시 삼문동 735-10번지 ,경상남도 밀양시 미리벌로2길 37 (삼문동),2016-11-10,영업/정상,영업중,유원시설업(기타)
차타타,경상남도 밀양시 삼문동 738-6번지 ,"경상남도 밀양시 미리벌중앙로3길 30, 2층 (삼문동)",2017-08-10,영업/정상,영업중,유원시설업(기타)
샤랄랄라 키즈카페,"경상남도 밀양시 삼문동 715-6번지 지선빌딩 2층,3층 ",경상남도 밀양시 미리벌중앙로 74 (삼문동),2018-07-30,영업/정상,영업중,유원시설업(기타)
4D 맥스라이더(홈플러스 밀양점),경상남도 밀양시 내이동 1403-11번지 홈플러스 ,"경상남도 밀양시 점필재로 45, 홈플러스 (내이동)",2017-11-09,영업/정상,영업중,유원시설업(기타)
엄마랑놀자키즈글램핑,경상남도 밀양시 초동면 대곡리 245-3번지 ,경상남도 밀양시 초동면 초동중앙로 18,2019-08-19,영업/정상,영업중,유원시설업(기타)
애플키즈카페,경상남도 밀양시 내이동 1583-8번지 ,경상남도 밀양시 북성로4길 20 (내이동),2018-07-23,영업/정상,영업중,유원시설업(기타)
밀양189야영장,경상남도 밀양시 용평동 189-4번지 ,,2019-09-05,영업/정상,영업중,유원시설업(기타)
트램폴린파크,경상남도 거제시 고현동 399-2번지 하람빌딩 ,"경상남도 거제시 거제중앙로 1793, 하람빌딩 2층 (고현동)",2019-12-19,영업/정상,영업중,유원시설업(기타)
뽀로로 맘앤키즈카페 거제디큐브백화점,경상남도 거제시 장평동 1211번지 디큐브백화점 ,"경상남도 거제시 장평로 12, 디큐브백화점 8층 (장평동)",2019-04-26,영업/정상,영업중,유원시설업(기타)
수영하는 아기,경상남도 거제시 양정동 1096 거제2차 IPARK ,"경상남도 거제시 수양로 110, 601동 B201~3호 (양정동, 거제2차 IPARK)",2019-10-01,영업/정상,영업중,유원시설업(기타)
