,시군구,소재지,구분
110,창원시,"경상남도 창원시 의창구 북면 감계리 234-3번지 MG빌딩,601 602호 ",유원시설업(기타)
111,창원시,경상남도 창원시 성산구 상남동 80 롯데백화점창원점(신관) 7층호,유원시설업(기타)
112,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 742번지 ,유원시설업(기타)
113,창원시,경상남도 창원시 마산회원구 양덕동 12-30번지 생명장한의원 ,유원시설업(기타)
114,창원시,경상남도 창원시 진해구 석동 141-1 ,유원시설업(기타)
115,창원시,경상남도 창원시 마산회원구 양덕동 51-31번지 금천빌딩 ,유원시설업(기타)
116,창원시,경상남도 창원시 마산회원구 양덕동 535 ,유원시설업(기타)
117,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 26-6 ,유원시설업(기타)
118,창원시,경상남도 창원시 마산합포구 현동 374 7층 701호,유원시설업(기타)
119,창원시,경상남도 창원시 성산구 가음동 7-2 더원빌딩 403호,유원시설업(기타)
120,창원시,경상남도 창원시 마산합포구 산호동 338-37 ,유원시설업(기타)
121,창원시,경상남도 창원시 진해구 용원동 1212-16 ,유원시설업(기타)
122,창원시,경상남도 창원시 마산회원구 내서읍 삼계리 27-2 ,유원시설업(기타)
123,창원시,경상남도 창원시 마산합포구 교방동 511 ,유원시설업(기타)
124,창원시,경상남도 창원시 진해구 석동 142-2 ,유원시설업(기타)
125,창원시,경상남도 창원시 마산합포구 해운동 5-95 1층 105호,유원시설업(기타)
126,창원시,경상남도 창원시 마산합포구 창동 137-2 ,유원시설업(기타)
127,창원시,경상남도 창원시 의창구 팔용동 30-1번지 ,유원시설업(기타)
128,창원시,경상남도 창원시 의창구 동읍 월잠리 95번지 ,유원시설업(기타)
129,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1 ,유원시설업(기타)
130,창원시,경상남도 창원시 의창구 북면 신촌리 1533-2 ,유원시설업(기타)
131,창원시,경상남도 창원시 마산회원구 양덕동 149-20 메트로센텀 1동 1302호,유원시설업(기타)
132,창원시,경상남도 창원시 마산합포구 해운동 5-95 해운프라자 ,유원시설업(기타)
133,창원시,경상남도 창원시 성산구 대원동 121 더시티세븐 ,유원시설업(기타)
134,창원시,경상남도 창원시 성산구 대방동 338-4 대풍빌딩 ,유원시설업(기타)
137,김해시,경상남도 김해시 어방동 993 ,일반유원시설업
138,김해시,경상남도 김해시 생림면 마사리 654-4 ,일반유원시설업
139,김해시,경상남도 김해시 어방동 993 ,일반유원시설업
141,김해시,경상남도 김해시 신문동 1414 롯데아울렛 ,일반유원시설업
161,창원시,경상남도 창원시 마산회원구 합성동 126-29 지하1층 ,일반유원시설업
162,창원시,경상남도 창원시 의창구 대원동 123번지 창원컨벤션센터 ,일반유원시설업
264,창원시,경상남도 창원시 진해구 장천동 409-5 제이씨빌딩 701호,유원시설업(기타)
267,창원시,경상남도 창원시 마산합포구 구산면 반동리 산 121-1 ,종합유원시설업
268,김해시,경상남도 김해시 외동 1264 신세계백화점 2층 ,유원시설업(기타)
272,창원시,경상남도 창원시 마산합포구 교방동 385-25 ,유원시설업(기타)
273,창원시,경상남도 창원시 성산구 대원동 123 ,국제회의시설업
275,산청군,경상남도 산청군 시천면 반천리 산 65 서지관광농원 ,유원시설업(기타)
276,창원시,경상남도 창원시 성산구 상남동 79 롯데백화점 3층 ,유원시설업(기타)
277,김해시,경상남도 김해시 외동 1264 ,유원시설업(기타)
281,김해시,경상남도 김해시 외동 1421 이진캐스빌 2차 아파트(상가) 104동 103호,유원시설업(기타)
284,창원시,경상남도 창원시 성산구 중앙동 91 창원이마트 ,유원시설업(기타)
289,김해시,경상남도 김해시 어방동 474-2 ,유원시설업(기타)
295,창원시,"경상남도 창원시 마산합포구 진북면 금산리 437 (외 2번지, 283-1, 449-1) ",유원시설업(기타)
305,창원시,경상남도 창원시 진해구 풍호동 805-5 ,유원시설업(기타)
306,김해시,경상남도 김해시 장유동 840-4 ,유원시설업(기타)
310,김해시,경상남도 김해시 장유동 825-1 ,유원시설업(기타)
311,김해시,경상남도 김해시 외동 1264 이마트 김해점 2층 ,유원시설업(기타)
313,창원시,경상남도 창원시 의창구 용호동 73-61 ,시내순환관광업
